,id,genre,subgenre,artist,title
0,Blues - Modern/Albert King - Born Under A Bad Sign,Blues,Modern,Albert King,Born Under A Bad Sign
1,Blues - Modern/B B King - How Blue Can You Get,Blues,Modern,B B King,How Blue Can You Get
2,Blues - Modern/B B King - Rock Me Baby,Blues,Modern,B B King,Rock Me Baby
3,Blues - Modern/B B King - The Thrill Is Gone,Blues,Modern,B B King,The Thrill Is Gone
4,Blues - Modern/Buddy Guy - Don't Answer the Door,Blues,Modern,Buddy Guy,Don't Answer the Door
5,Blues - Modern/Cream - Crossroads,Blues,Modern,Cream,Crossroads
6,Blues - Modern/Derek and the Dominoes - Key to the Highway,Blues,Modern,Derek and the Dominoes,Key to the Highway
7,Blues - Modern/Derek and the Dominoes - Nobody Knows You When Youre Down and Out,Blues,Modern,Derek and the Dominoes,Nobody Knows You When Youre Down and Out
8,Blues - Modern/Gary Moore - Still Got The Blues,Blues,Modern,Gary Moore,Still Got The Blues
9,Blues - Modern/James Cotton - Sweet Sixteen,Blues,Modern,James Cotton,Sweet Sixteen
10,Blues - Modern/Johnny Winter - Good Morning Little Schoolgirl,Blues,Modern,Johnny Winter,Good Morning Little Schoolgirl
11,Blues - Modern/Johnny Winter - Unseen Eye,Blues,Modern,Johnny Winter,Unseen Eye
12,Blues - Modern/Koko Taylor - Let the Good Times Roll,Blues,Modern,Koko Taylor,Let the Good Times Roll
13,Blues - Modern/Led Zeppelin - I Can't Quit You Baby,Blues,Modern,Led Zeppelin,I Can't Quit You Baby
14,Blues - Modern/Led Zeppelin - Since I've Been Loving You,Blues,Modern,Led Zeppelin,Since I've Been Loving You
15,Blues - Modern/Stevie Ray Vaughan - Cold Shot,Blues,Modern,Stevie Ray Vaughan,Cold Shot
16,Blues - Modern/Stevie Ray Vaughan - Honey Bee,Blues,Modern,Stevie Ray Vaughan,Honey Bee
17,Blues - Modern/Stevie Ray Vaughan - Pride And Joy,Blues,Modern,Stevie Ray Vaughan,Pride And Joy
18,Blues - Modern/Stevie Ray Vaughan - Texas Flood,Blues,Modern,Stevie Ray Vaughan,Texas Flood
19,Blues - Modern/Ten Years After - Help Me,Blues,Modern,Ten Years After,Help Me
20,Blues - Modern/The Allman Brothers Band - It's Not My Cross To Bear,Blues,Modern,The Allman Brothers Band,It's Not My Cross To Bear
21,Blues - Modern/The Allman Brothers Band - One Way Out,Blues,Modern,The Allman Brothers Band,One Way Out
22,Blues - Modern/The Allman Brothers Band - Statesboro Blues,Blues,Modern,The Allman Brothers Band,Statesboro Blues
23,Blues - Modern/The Allman Brothers Band - Stormy Monday,Blues,Modern,The Allman Brothers Band,Stormy Monday
24,Blues - Modern/The Doors - Roadhouse Blues,Blues,Modern,The Doors,Roadhouse Blues
25,Blues - Traditional/Blind Lemon Jefferson - Matchbox Blues,Blues,Traditional,Blind Lemon Jefferson,Matchbox Blues
26,Blues - Traditional/Brownie McGhee - Aint No Tellin,Blues,Traditional,Brownie McGhee,Aint No Tellin
27,Blues - Traditional/Brownie McGhee - Key to the Highway,Blues,Traditional,Brownie McGhee,Key to the Highway
28,Blues - Traditional/Buddy Guy - Rollin and Tumblin,Blues,Traditional,Buddy Guy,Rollin and Tumblin
29,Blues - Traditional/Charlie Patton - Screamin and Hollerin the Blues,Blues,Traditional,Charlie Patton,Screamin and Hollerin the Blues
30,Blues - Traditional/Chris Thomas King - Hard Time Killing Floor Blues,Blues,Traditional,Chris Thomas King,Hard Time Killing Floor Blues
31,Blues - Traditional/Doc Watson - Blues Stay Away From Me,Blues,Traditional,Doc Watson,Blues Stay Away From Me
32,Blues - Traditional/Eric Clapton - Before You Accuse Me,Blues,Traditional,Eric Clapton,Before You Accuse Me
33,Blues - Traditional/Howlin Wolf - Little Red Rooster,Blues,Traditional,Howlin Wolf,Little Red Rooster
34,Blues - Traditional/James Cotton - Dont Start Me Talkin,Blues,Traditional,James Cotton,Dont Start Me Talkin
35,Blues - Traditional/James Cotton - Juke,Blues,Traditional,James Cotton,Juke
36,Blues - Traditional/Johnny Winter - Dallas,Blues,Traditional,Johnny Winter,Dallas
37,Blues - Traditional/Lightnin Hopkins - In The Evening The Sun Is Going Down,Blues,Traditional,Lightnin Hopkins,In The Evening The Sun Is Going Down
38,Blues - Traditional/Lightnin Hopkins - Trouble In Mind Time,Blues,Traditional,Lightnin Hopkins,Trouble In Mind Time
39,Blues - Traditional/Mama Yancey - How Long Blues,Blues,Traditional,Mama Yancey,How Long Blues
40,Blues - Traditional/Misissipi Fred McDowell - My Babe,Blues,Traditional,Misissipi Fred McDowell,My Babe
41,Blues - Traditional/Muddy Waters - Good Morning Little School Girl,Blues,Traditional,Muddy Waters,Good Morning Little School Girl
42,Blues - Traditional/Muddy Waters - Hoochie Coochie Man,Blues,Traditional,Muddy Waters,Hoochie Coochie Man
43,Blues - Traditional/Muddy Waters - Kansas City,Blues,Traditional,Muddy Waters,Kansas City
44,Blues - Traditional/Robert Johnson - Cross Road Blues,Blues,Traditional,Robert Johnson,Cross Road Blues
45,Blues - Traditional/Robert Johnson - I Believe I'll Dust My Broom,Blues,Traditional,Robert Johnson,I Believe I'll Dust My Broom
46,Blues - Traditional/Robert Johnson - Sweet Home Chicago,Blues,Traditional,Robert Johnson,Sweet Home Chicago
47,Blues - Traditional/Robert Johnson - Terraplane Blues,Blues,Traditional,Robert Johnson,Terraplane Blues
48,Blues - Traditional/Robert Johnson - Walking Blues,Blues,Traditional,Robert Johnson,Walking Blues
49,Blues - Traditional/Skip James - Special Rider Blues,Blues,Traditional,Skip James,Special Rider Blues
50,Classical - Baroque/Bach J S - Art of Fugue Fugue No 3,Classical,Baroque,Bach J S,Art of Fugue Fugue No 3
51,Classical - Baroque/Bach J S - Cello Suite No 1 Prelude,Classical,Baroque,Bach J S,Cello Suite No 1 Prelude
52,Classical - Baroque/Bach J S - Prelude And Fugue For Organ In C,Classical,Baroque,Bach J S,Prelude And Fugue For Organ In C
53,Classical - Baroque/Bach J S - St Matthew Passion Kommt ihr Tochter,Classical,Baroque,Bach J S,St Matthew Passion Kommt ihr Tochter
54,"Classical - Baroque/Bach J S - Was bist du doch, o Seele, so betru",Classical,Baroque,Bach J S,"Was bist du doch, o Seele, so betru"
55,Classical - Baroque/Buxtehude - Fugue in C,Classical,Baroque,Buxtehude,Fugue in C
56,"Classical - Baroque/Buxtehude - Herr Jesu Christ, ich weiss gar wohl",Classical,Baroque,Buxtehude,"Herr Jesu Christ, ich weiss gar wohl"
57,Classical - Baroque/Buxtehude - Praeludium in E BuxWV141,Classical,Baroque,Buxtehude,Praeludium in E BuxWV141
58,Classical - Baroque/Corelli - Concerto Grosso in G min Op 6 No 8 1 and 2,Classical,Baroque,Corelli,Concerto Grosso in G min Op 6 No 8 1 and 2
59,"Classical - Baroque/Handel - Solomon, Arrival of the Queen of Sheba",Classical,Baroque,Handel,"Solomon, Arrival of the Queen of Sheba"
60,Classical - Baroque/Handel - Suite for Harpsichord in D minor Sarabande,Classical,Baroque,Handel,Suite for Harpsichord in D minor Sarabande
61,Classical - Baroque/Handel - Water Music Suite 1 in F Bouree,Classical,Baroque,Handel,Water Music Suite 1 in F Bouree
62,Classical - Baroque/Marais - Sonnerie de Ste Genevieve du Mont de Paris,Classical,Baroque,Marais,Sonnerie de Ste Genevieve du Mont de Paris
63,Classical - Baroque/Monteverdi - Altri canti d'Amor,Classical,Baroque,Monteverdi,Altri canti d'Amor
64,"Classical - Baroque/Monteverdi - Ecco pur, ch'avoi ritorno",Classical,Baroque,Monteverdi,"Ecco pur, ch'avoi ritorno"
65,"Classical - Baroque/Monteverdi - L'Orfeo, Tu se morta",Classical,Baroque,Monteverdi,"L'Orfeo, Tu se morta"
66,Classical - Baroque/Pachelbel - Canon in D,Classical,Baroque,Pachelbel,Canon in D
67,Classical - Baroque/Purcell - Dido and Aeneas When I am laid in earth,Classical,Baroque,Purcell,Dido and Aeneas When I am laid in earth
68,Classical - Baroque/Scarlatti D - Keyboard Sonata in D minor K1,Classical,Baroque,Scarlatti D,Keyboard Sonata in D minor K1
69,Classical - Baroque/Scarlatti D - Sonata in A K039,Classical,Baroque,Scarlatti D,Sonata in A K039
70,Classical - Baroque/Scarlatti D - Sonata in D K119,Classical,Baroque,Scarlatti D,Sonata in D K119
71,Classical - Baroque/Vivaldi - Concerto for 2 Violins and Cello in F Op 3 No 7,Classical,Baroque,Vivaldi,Concerto for 2 Violins and Cello in F Op 3 No 7
72,Classical - Baroque/Vivaldi - Four Seasons Spring Allegro,Classical,Baroque,Vivaldi,Four Seasons Spring Allegro
73,Classical - Baroque/Vivaldi - Violin Concerto in A minor Op 3 No 6,Classical,Baroque,Vivaldi,Violin Concerto in A minor Op 3 No 6
74,Classical - Baroque/Vivaldi - Violin Concerto in G No 3 Op 3,Classical,Baroque,Vivaldi,Violin Concerto in G No 3 Op 3
75,Classical - Romantic/Beethoven - Bagatelles Op 126 Allegro in G-,Classical,Romantic,Beethoven,Bagatelles Op 126 Allegro in G-
76,Classical - Romantic/Beethoven - Eroica 1st Mvmt,Classical,Romantic,Beethoven,Eroica 1st Mvmt
77,Classical - Romantic/Beethoven - Fur Elise,Classical,Romantic,Beethoven,Fur Elise
78,Classical - Romantic/Berlioz - Harold In Italy Op 16,Classical,Romantic,Berlioz,Harold In Italy Op 16
79,Classical - Romantic/Berlioz - Symphonie Fantastique,Classical,Romantic,Berlioz,Symphonie Fantastique
80,Classical - Romantic/Brahms - Symphony No 2 in D Op 73 Allegro Non Troppo,Classical,Romantic,Brahms,Symphony No 2 in D Op 73 Allegro Non Troppo
81,Classical - Romantic/Chopin - Ballade No 3 in Ab Op 47,Classical,Romantic,Chopin,Ballade No 3 in Ab Op 47
82,Classical - Romantic/Chopin - Nocturne No 13 in C Op 48,Classical,Romantic,Chopin,Nocturne No 13 in C Op 48
83,Classical - Romantic/Dvorak - Symphony no 9 in e minor Adagio,Classical,Romantic,Dvorak,Symphony no 9 in e minor Adagio
84,Classical - Romantic/Liszt - Concerto in Eb 1st and 2nd Mov,Classical,Romantic,Liszt,Concerto in Eb 1st and 2nd Mov
85,Classical - Romantic/Liszt - Etude Transcendentales No 5,Classical,Romantic,Liszt,Etude Transcendentales No 5
86,Classical - Romantic/Mendelssohn - A Midsummer Nights Dream Overture,Classical,Romantic,Mendelssohn,A Midsummer Nights Dream Overture
87,Classical - Romantic/Mendelssohn - Songs Without Words Op 38 No 1 in Eb ,Classical,Romantic,Mendelssohn,Songs Without Words Op 38 No 1 in Eb 
88,Classical - Romantic/Mendelssohn - Violin Conerto 64 Alegro,Classical,Romantic,Mendelssohn,Violin Conerto 64 Alegro
89,Classical - Romantic/Paganini - Capricho No 7,Classical,Romantic,Paganini,Capricho No 7
90,Classical - Romantic/Puccini - O mio babbino caro,Classical,Romantic,Puccini,O mio babbino caro
91,Classical - Romantic/Rossini - Barber of Seville Una voce poco fa,Classical,Romantic,Rossini,Barber of Seville Una voce poco fa
92,Classical - Romantic/Schubert - Gretchen am Spinnrade,Classical,Romantic,Schubert,Gretchen am Spinnrade
93,Classical - Romantic/Schumann - Trio para piano violin y violoncello op110 1er mov,Classical,Romantic,Schumann,Trio para piano violin y violoncello op110 1er mov
94,Classical - Romantic/Verdi - Aida Celeste,Classical,Romantic,Verdi,Aida Celeste
95,Classical - Romantic/Verdi - Aida Finale du deuxieme acte,Classical,Romantic,Verdi,Aida Finale du deuxieme acte
96,"Classical - Romantic/Verdi - Requiem, dies irae",Classical,Romantic,Verdi,"Requiem, dies irae"
97,Classical - Romantic/Wagner - Ride of the Valkyrie,Classical,Romantic,Wagner,Ride of the Valkyrie
98,Classical - Romantic/Wagner - Siegfried Idyll,Classical,Romantic,Wagner,Siegfried Idyll
99,"Classical - Romantic/Wagner - Tristan und Isolde, Prelude",Classical,Romantic,Wagner,"Tristan und Isolde, Prelude"
100,Jazz - Bop/Art Blakey - Moanin,Jazz,Bop,Art Blakey,Moanin
101,Jazz - Bop/Bud Powell - Ornithology,Jazz,Bop,Bud Powell,Ornithology
102,Jazz - Bop/Bud Powell - Scrapple from the Apple,Jazz,Bop,Bud Powell,Scrapple from the Apple
103,Jazz - Bop/Charlie Parker - Au Privave,Jazz,Bop,Charlie Parker,Au Privave
104,Jazz - Bop/Charlie Parker - Donna Lee,Jazz,Bop,Charlie Parker,Donna Lee
105,Jazz - Bop/Dizzy Gillepsie - 52nd Street Theme,Jazz,Bop,Dizzy Gillepsie,52nd Street Theme
106,Jazz - Bop/Dizzy Gillespie - Groovin High,Jazz,Bop,Dizzy Gillespie,Groovin High
107,Jazz - Bop/Herbie Hancock - Cantaloupe Island,Jazz,Bop,Herbie Hancock,Cantaloupe Island
108,Jazz - Bop/Herbie Hancock - Watermelon Man,Jazz,Bop,Herbie Hancock,Watermelon Man
109,Jazz - Bop/Horace Silver - Opus De Funk,Jazz,Bop,Horace Silver,Opus De Funk
110,Jazz - Bop/J J Johnson - Softly As In The Morning Sunrise,Jazz,Bop,J J Johnson,Softly As In The Morning Sunrise
111,Jazz - Bop/Jimmy Smith - Back At The Chicken Shack,Jazz,Bop,Jimmy Smith,Back At The Chicken Shack
112,Jazz - Bop/John Coltrane - Airegin,Jazz,Bop,John Coltrane,Airegin
113,Jazz - Bop/John Coltrane - Lazy Bird,Jazz,Bop,John Coltrane,Lazy Bird
114,Jazz - Bop/John Coltrane - Mr P C,Jazz,Bop,John Coltrane,Mr P C
115,Jazz - Bop/Lee Morgan - The Sidewinder,Jazz,Bop,Lee Morgan,The Sidewinder
116,Jazz - Bop/Max Roach - Billie's Bounce,Jazz,Bop,Max Roach,Billie's Bounce
117,Jazz - Bop/Miles Davis - Blue n Boogie,Jazz,Bop,Miles Davis,Blue n Boogie
118,Jazz - Bop/Miles Davis - Doxy,Jazz,Bop,Miles Davis,Doxy
119,Jazz - Bop/Miles Davis - Half Nelson,Jazz,Bop,Miles Davis,Half Nelson
120,Jazz - Bop/Miles Davis - Well You Neednt,Jazz,Bop,Miles Davis,Well You Neednt
121,Jazz - Bop/Thelonious Monk - Evidence,Jazz,Bop,Thelonious Monk,Evidence
122,Jazz - Bop/Thelonious Monk - In Walked Bud,Jazz,Bop,Thelonious Monk,In Walked Bud
123,Jazz - Bop/Thelonious Monk - Straight No Chaser,Jazz,Bop,Thelonious Monk,Straight No Chaser
124,Jazz - Bop/Wes Montgomery - Four On Six,Jazz,Bop,Wes Montgomery,Four On Six
125,Jazz - Swing/Art Tatum - In A Sentimental Mood,Jazz,Swing,Art Tatum,In A Sentimental Mood
126,Jazz - Swing/Ben Webster - Bye Bye Blackbird,Jazz,Swing,Ben Webster,Bye Bye Blackbird
127,Jazz - Swing/Benny Goodman - Sing Sing Sing,Jazz,Swing,Benny Goodman,Sing Sing Sing
128,Jazz - Swing/Billie Holiday - Darn That Dream,Jazz,Swing,Billie Holiday,Darn That Dream
129,Jazz - Swing/Billie Holiday - Do Nothing til You Hear From Me,Jazz,Swing,Billie Holiday,Do Nothing til You Hear From Me
130,Jazz - Swing/Billie Holiday - It Had To Be You,Jazz,Swing,Billie Holiday,It Had To Be You
131,Jazz - Swing/Billie Holiday - Prelude To A Kiss,Jazz,Swing,Billie Holiday,Prelude To A Kiss
132,Jazz - Swing/Billie Holiday - Sophisticated Lady,Jazz,Swing,Billie Holiday,Sophisticated Lady
133,Jazz - Swing/Chick Webb - Dont be That Way,Jazz,Swing,Chick Webb,Dont be That Way
134,Jazz - Swing/Count Basie - April In Paris,Jazz,Swing,Count Basie,April In Paris
135,Jazz - Swing/Count Basie - Autumn Leaves,Jazz,Swing,Count Basie,Autumn Leaves
136,Jazz - Swing/Count Basie - Corner Pocket,Jazz,Swing,Count Basie,Corner Pocket
137,Jazz - Swing/Count Basie - Freckle Face,Jazz,Swing,Count Basie,Freckle Face
138,Jazz - Swing/Duke Ellington - Cottontail,Jazz,Swing,Duke Ellington,Cottontail
139,Jazz - Swing/Duke Ellington - Don't Get Around Much Anymore,Jazz,Swing,Duke Ellington,Don't Get Around Much Anymore
140,Jazz - Swing/Duke Ellington - It Don't Mean A Thing,Jazz,Swing,Duke Ellington,It Don't Mean A Thing
141,Jazz - Swing/Duke Ellington - Perdido,Jazz,Swing,Duke Ellington,Perdido
142,Jazz - Swing/Duke Ellington - Stompin At The Savoy,Jazz,Swing,Duke Ellington,Stompin At The Savoy
143,Jazz - Swing/Duke Ellington - Take the A Train,Jazz,Swing,Duke Ellington,Take the A Train
144,Jazz - Swing/Ella Fitzgerald - A Foggy Day,Jazz,Swing,Ella Fitzgerald,A Foggy Day
145,Jazz - Swing/Ella Fitzgerald - Don't Be That Way,Jazz,Swing,Ella Fitzgerald,Don't Be That Way
146,Jazz - Swing/Ella Fitzgerald - Satin Doll,Jazz,Swing,Ella Fitzgerald,Satin Doll
147,Jazz - Swing/Louis Armstrong - I've Got the World on a String,Jazz,Swing,Louis Armstrong,I've Got the World on a String
148,Jazz - Swing/Sarah Vaughn - If I Were A Bell,Jazz,Swing,Sarah Vaughn,If I Were A Bell
149,Jazz - Swing/The Dorsey Brothers - St. Louis Blues,Jazz,Swing,The Dorsey Brothers,St. Louis Blues
150,Rap - Hardcore Rap/Bone Thugs N Harmony - First of the Month,Rap,Hardcore Rap,Bone Thugs N Harmony,First of the Month
151,Rap - Hardcore Rap/Bone Thugs N Harmony - Look Into My Eyes,Rap,Hardcore Rap,Bone Thugs N Harmony,Look Into My Eyes
152,Rap - Hardcore Rap/Coolio - Gangstas Paradise,Rap,Hardcore Rap,Coolio,Gangstas Paradise
153,Rap - Hardcore Rap/DMX - Party Up,Rap,Hardcore Rap,DMX,Party Up
154,Rap - Hardcore Rap/DMX - Ruff Ryders Anthem,Rap,Hardcore Rap,DMX,Ruff Ryders Anthem
155,Rap - Hardcore Rap/Dr Dre - Forgot About Dre,Rap,Hardcore Rap,Dr Dre,Forgot About Dre
156,Rap - Hardcore Rap/Dr Dre - Keep Their Heads Ringing,Rap,Hardcore Rap,Dr Dre,Keep Their Heads Ringing
157,Rap - Hardcore Rap/Dr Dre - Still Dreaming,Rap,Hardcore Rap,Dr Dre,Still Dreaming
158,Rap - Hardcore Rap/Eminem - Bad Meets Evil,Rap,Hardcore Rap,Eminem,Bad Meets Evil
159,Rap - Hardcore Rap/Eminem - Guilty Conscience,Rap,Hardcore Rap,Eminem,Guilty Conscience
160,Rap - Hardcore Rap/Eminem - The Real Slim Shady,Rap,Hardcore Rap,Eminem,The Real Slim Shady
161,Rap - Hardcore Rap/Freak Nasty - Da Dip,Rap,Hardcore Rap,Freak Nasty,Da Dip
162,Rap - Hardcore Rap/Ice Cube - Ghetto Vet,Rap,Hardcore Rap,Ice Cube,Ghetto Vet
163,Rap - Hardcore Rap/Ice Cube - Record Company Pimpin,Rap,Hardcore Rap,Ice Cube,Record Company Pimpin
164,Rap - Hardcore Rap/Jay Z - Big Pimpin,Rap,Hardcore Rap,Jay Z,Big Pimpin
165,Rap - Hardcore Rap/Notorious BIG - Notorious Thugs,Rap,Hardcore Rap,Notorious BIG,Notorious Thugs
166,Rap - Hardcore Rap/Snoop Dog - Aint Nothing Personal,Rap,Hardcore Rap,Snoop Dog,Aint Nothing Personal
167,Rap - Hardcore Rap/Snoop Dog - Gz and Hustlas,Rap,Hardcore Rap,Snoop Dog,Gz and Hustlas
168,Rap - Hardcore Rap/Snoop Dog - Murder Was the Case,Rap,Hardcore Rap,Snoop Dog,Murder Was the Case
169,Rap - Hardcore Rap/Snoop Dog - Still a G Thang,Rap,Hardcore Rap,Snoop Dog,Still a G Thang
170,Rap - Hardcore Rap/Snoop Dog - The Shiznit,Rap,Hardcore Rap,Snoop Dog,The Shiznit
171,Rap - Hardcore Rap/The Luniz - I Got Five On It,Rap,Hardcore Rap,The Luniz,I Got Five On It
172,Rap - Hardcore Rap/Tupac Shakur - 2 of Americaz Most Wanted,Rap,Hardcore Rap,Tupac Shakur,2 of Americaz Most Wanted
173,Rap - Hardcore Rap/Tupac Shakur - I Aint Mad At Cha,Rap,Hardcore Rap,Tupac Shakur,I Aint Mad At Cha
174,Rap - Hardcore Rap/Westside Connection - Bow Down,Rap,Hardcore Rap,Westside Connection,Bow Down
175,Rap - Pop Rap/Arrested Development - People Everyday,Rap,Pop Rap,Arrested Development,People Everyday
176,Rap - Pop Rap/Coolio - C U When U Get There,Rap,Pop Rap,Coolio,C U When U Get There
177,Rap - Pop Rap/Coolio - Fantastic Voyage,Rap,Pop Rap,Coolio,Fantastic Voyage
178,Rap - Pop Rap/Eminem - Stan,Rap,Pop Rap,Eminem,Stan
179,Rap - Pop Rap/Jay Z - Hard Knock Life,Rap,Pop Rap,Jay Z,Hard Knock Life
180,Rap - Pop Rap/Marky Mark - Good Vibrations,Rap,Pop Rap,Marky Mark,Good Vibrations
181,Rap - Pop Rap/MC Hammer - Have You Seen Her,Rap,Pop Rap,MC Hammer,Have You Seen Her
182,Rap - Pop Rap/MC Hammer - U Cant Touch This,Rap,Pop Rap,MC Hammer,U Cant Touch This
183,Rap - Pop Rap/Naughty by Nature - Jamboree,Rap,Pop Rap,Naughty by Nature,Jamboree
184,Rap - Pop Rap/Nelly - Country Grammar,Rap,Pop Rap,Nelly,Country Grammar
185,Rap - Pop Rap/Puff Daddy - I'll Be Missing You,Rap,Pop Rap,Puff Daddy,I'll Be Missing You
186,Rap - Pop Rap/Run DMC - Sucka MCs,Rap,Pop Rap,Run DMC,Sucka MCs
187,Rap - Pop Rap/Skee Lo - I Wish,Rap,Pop Rap,Skee Lo,I Wish
188,Rap - Pop Rap/Snoop Dogg - Been Around the World,Rap,Pop Rap,Snoop Dogg,Been Around the World
189,Rap - Pop Rap/The Fugees - Ready or Not,Rap,Pop Rap,The Fugees,Ready or Not
190,Rap - Pop Rap/The Notorious BIG - Big Poppa,Rap,Pop Rap,The Notorious BIG,Big Poppa
191,Rap - Pop Rap/The Notorious BIG - Mo Money Mo Problems,Rap,Pop Rap,The Notorious BIG,Mo Money Mo Problems
192,Rap - Pop Rap/The Notorious BIG - One More Chance,Rap,Pop Rap,The Notorious BIG,One More Chance
193,Rap - Pop Rap/Tupac Shakur - Changes,Rap,Pop Rap,Tupac Shakur,Changes
194,Rap - Pop Rap/Usher - You Make Me Wanna,Rap,Pop Rap,Usher,You Make Me Wanna
195,Rap - Pop Rap/Vanilla Ice - Ice Ice Baby,Rap,Pop Rap,Vanilla Ice,Ice Ice Baby
196,Rap - Pop Rap/Warren G - Regulate,Rap,Pop Rap,Warren G,Regulate
197,Rap - Pop Rap/Will Smith - Getting Jiggy With It,Rap,Pop Rap,Will Smith,Getting Jiggy With It
198,Rap - Pop Rap/Will Smith - Just the Two of Us,Rap,Pop Rap,Will Smith,Just the Two of Us
199,Rap - Pop Rap/Will Smith - Men In Black,Rap,Pop Rap,Will Smith,Men In Black
200,Rock - Alternative/Alice in Chains - Heaven Beside You,Rock,Alternative,Alice in Chains,Heaven Beside You
201,Rock - Alternative/Alice in Chains - Rooster,Rock,Alternative,Alice in Chains,Rooster
202,Rock - Alternative/Alice in Chains - Would,Rock,Alternative,Alice in Chains,Would
203,Rock - Alternative/Cake - The Distance,Rock,Alternative,Cake,The Distance
204,Rock - Alternative/Collective Soul - December,Rock,Alternative,Collective Soul,December
205,Rock - Alternative/Collective Soul - Gel,Rock,Alternative,Collective Soul,Gel
206,Rock - Alternative/Collective Soul - Precious Declaration,Rock,Alternative,Collective Soul,Precious Declaration
207,Rock - Alternative/Collective Soul - Where The River Flows,Rock,Alternative,Collective Soul,Where The River Flows
208,Rock - Alternative/Creed - Higher,Rock,Alternative,Creed,Higher
209,Rock - Alternative/DC Talk - Jesus Freak,Rock,Alternative,DC Talk,Jesus Freak
210,Rock - Alternative/Everclear - Santa Monica,Rock,Alternative,Everclear,Santa Monica
211,Rock - Alternative/Harvey Danger - Flagpole Sitta,Rock,Alternative,Harvey Danger,Flagpole Sitta
212,Rock - Alternative/Hole - Asking For It,Rock,Alternative,Hole,Asking For It
213,Rock - Alternative/Local H - Bound For The Floor,Rock,Alternative,Local H,Bound For The Floor
214,Rock - Alternative/Nirvana - Heart Shaped Box,Rock,Alternative,Nirvana,Heart Shaped Box
215,Rock - Alternative/Nirvana - Lithium,Rock,Alternative,Nirvana,Lithium
216,Rock - Alternative/Nirvana - Smells Like Teen Spirit,Rock,Alternative,Nirvana,Smells Like Teen Spirit
217,Rock - Alternative/Orgy - Blue Monday,Rock,Alternative,Orgy,Blue Monday
218,Rock - Alternative/Pearl Jam - Alive,Rock,Alternative,Pearl Jam,Alive
219,Rock - Alternative/Soundgarden - Black Hole Sun,Rock,Alternative,Soundgarden,Black Hole Sun
220,Rock - Alternative/Soundgarden - My Wave,Rock,Alternative,Soundgarden,My Wave
221,Rock - Alternative/The Cardigans - My Favorite Game,Rock,Alternative,The Cardigans,My Favorite Game
222,Rock - Alternative/The Smashing Pumpkins - Bullet With Butterfly Wings,Rock,Alternative,The Smashing Pumpkins,Bullet With Butterfly Wings
223,Rock - Alternative/The Smashing Pumpkins - Where Boys Fear To Tread,Rock,Alternative,The Smashing Pumpkins,Where Boys Fear To Tread
224,Rock - Alternative/Tool - Aenima,Rock,Alternative,Tool,Aenima
225,Rock - Metal/311 - Down,Rock,Metal,311,Down
226,Rock - Metal/ACDC - Back in Black,Rock,Metal,ACDC,Back in Black
227,Rock - Metal/Filter - Dose,Rock,Metal,Filter,Dose
228,Rock - Metal/Guns n Roses - Welcome to the Jungle,Rock,Metal,Guns n Roses,Welcome to the Jungle
229,Rock - Metal/Iron Maiden - Aces High,Rock,Metal,Iron Maiden,Aces High
230,Rock - Metal/Iron Maiden - Revelations,Rock,Metal,Iron Maiden,Revelations
231,Rock - Metal/Limp Bizkit - Break Stuff,Rock,Metal,Limp Bizkit,Break Stuff
232,Rock - Metal/Marilyn Manson - Irresponsible Hate Anthem,Rock,Metal,Marilyn Manson,Irresponsible Hate Anthem
233,Rock - Metal/Marilyn Manson - The Reflecting God,Rock,Metal,Marilyn Manson,The Reflecting God
234,Rock - Metal/Megadeth - 99 Ways to Die,Rock,Metal,Megadeth,99 Ways to Die
235,Rock - Metal/Metallica - Hit The Lights,Rock,Metal,Metallica,Hit The Lights
236,Rock - Metal/Metallica - Master Of Puppets,Rock,Metal,Metallica,Master Of Puppets
237,Rock - Metal/Metallica - The Four Horsemen,Rock,Metal,Metallica,The Four Horsemen
238,Rock - Metal/Metallica - The Shortest Straw,Rock,Metal,Metallica,The Shortest Straw
239,Rock - Metal/Metallica - Through the Never,Rock,Metal,Metallica,Through the Never
240,Rock - Metal/Ozzy Osbourne - Crazy Train,Rock,Metal,Ozzy Osbourne,Crazy Train
241,Rock - Metal/Pantera - Becoming,Rock,Metal,Pantera,Becoming
242,Rock - Metal/Pantera - Cowboys from Hell,Rock,Metal,Pantera,Cowboys from Hell
243,Rock - Metal/Pantera - I'm Broken,Rock,Metal,Pantera,I'm Broken
244,Rock - Metal/Pantera - Walk,Rock,Metal,Pantera,Walk
245,Rock - Metal/Rage Against the Machine - Bulls On Parade,Rock,Metal,Rage Against the Machine,Bulls On Parade
246,Rock - Metal/Rage Against the Machine - Guerilla Radio,Rock,Metal,Rage Against the Machine,Guerilla Radio
247,Rock - Metal/Rage Against the Machine - Killing In The Name,Rock,Metal,Rage Against the Machine,Killing In The Name
248,Rock - Metal/Rage Against the Machine - Know Your Enemy,Rock,Metal,Rage Against the Machine,Know Your Enemy
249,Rock - Metal/White Zombie - Black Sunshine,Rock,Metal,White Zombie,Black Sunshine
